"","codi_farmacia","nom_farmacia","codi_abs","nom_abs","codi_municipi","nom_municipi","codi_postal","tipus_via.x","nom_via","num_via","idequipament","alies","nom","categoria","tipus_via.y","via","sufix_via","num","cpostal","poblacio","comarca","telefon1","telefon2","fax","utmx","utmy","longitud","latitud","email","web","data_modificacio","propietats","localitzacio"
"1","F08000057","Mias Navarro, Mireia",9,"ARENYS DE MAR",8007,"ARENYS DE MUNT",8358,"RB","SANT MARTI","56",3622076,"Farmàcia Mias Navarro, Mireia","Farmàcia Mias Navarro, Mireia","Salut|Farmàcies||",""," RB SANT MARTI, 56",NA,NA,8358,"Arenys de Munt","Maresme",937938201,NA,NA,461727.662,4606531.628,2.540669656,41.609579419,NA,NA,"2020-03-18T07:56:11.000Z",NA,"POINT (2.5406697 41.60958)"
"2","F08000113","Aguilar Calvo, Adela",273,"BADALONA 2",8015,"BADALONA",8911,"CR","FRANCESC LAYRET","83",3622082,"Farmàcia Aguilar Calvo, Adela","Farmàcia Aguilar Calvo, Adela","Salut|Farmàcies||",""," CR FRANCESC LAYRET, 83",NA,NA,8911,"Badalona","Barcelonès",933895208,NA,NA,437127.618,4588998.984,2.247281587,41.4501108,NA,NA,"2020-03-18T07:56:55.000Z",NA,"POINT (2.2472816 41.45011)"
"3","F08000120","Salla Claros, Josepa",277,"BADALONA 6",8015,"BADALONA",8913,"AV","MARQUES DE SANT MORI","16 bis",3622083,"Farmàcia Salla Claros, Josepa","Farmàcia Salla Claros, Josepa","Salut|Farmàcies||",""," AV MARQUÈS DE SANT MORI, 16",NA,NA,8913,"Badalona","Barcelonès",933887301,NA,NA,434858.667,4587682.727,2.220261649,41.438074727,NA,NA,"2020-03-18T07:56:54.000Z",NA,"POINT (2.2202616 41.438076)"
"4","F08000160","Prat Martori, Anna",274,"BADALONA 3",8015,"BADALONA",8912,"CR","FRANCESC MACIA","94-96",3622087,"Farmàcia Prat Martori, Anna","Farmàcia Prat Martori, Anna","Salut|Farmàcies||",""," CR FRANCESC MACIA, 00094",NA,NA,8912,"Badalona","Barcelonès",933870647,NA,NA,436581.808,4588585.097,2.240791073,41.446340091,NA,NA,"2020-03-18T07:56:54.000Z",NA,"POINT (2.240791 41.44634)"
"5","F08000240","Iglesias Llagostera, Albert",167,"NAVÀS/BALSARENY",8018,"BALSARENY",8660,"CT","BERGA","2",3622095,"Farmàcia Iglesias Llagostera, Albert","Farmàcia Iglesias Llagostera, Albert","Salut|Farmàcies||",""," CR DE BERGA, 2",NA,NA,8660,"Balsareny","Bages",938396121,NA,NA,406585.973,4635348.988,1.874443345,41.864541527,NA,NA,"2020-03-18T07:57:23.000Z",NA,"POINT (1.8744433 41.86454)"
"6","F08000258","Cosp Boixader, Maria",82,"BERGA",8022,"BERGA",8600,"PS","DE LA PAU","55",3622096,"Farmàcia Cosp Boixader, Maria","Farmàcia Cosp Boixader, Maria","Salut|Farmàcies||",""," PS DE LA PAU, 55",NA,NA,8600,"Berga","Berguedà",938210125,NA,NA,404596.289,4661381.446,1.846249397,42.098723085,NA,NA,"2020-03-18T07:57:20.000Z",NA,"POINT (1.8462493 42.098724)"
"7","F08000297","Font Sabala, Meritxell",88,"CALAF",8031,"CALAF",8280,"PS","SANTA CALAMANDA","7",3622100,"Farmàcia Font Sabala, Meritxell","Farmàcia Font Sabala, Meritxell","Salut|Farmàcies||",""," PS SANTA CALAMANDA, 7",NA,NA,8280,"Calaf","Anoia",938698506,NA,NA,376410.737,4621050.201,1.513940087,41.731657992,NA,NA,"2020-03-18T07:57:25.000Z",NA,"POINT (1.5139401 41.73166)"
"8","F08000307","Puigoriol Mas, Isabel",89,"CALDES DE MONTBUI",8033,"CALDES DE MONTBUI",8140,"CR","FORN","7",3622101,"Farmàcia Puigoriol Mas, Isabel","Farmàcia Puigoriol Mas, Isabel","Salut|Farmàcies||","c.","del Forn",NA,7,8140,"Caldes de Montbui","Vallès Oriental",938650097,NA,NA,430235.182,4609492.267,2.162393704,41.634112568,NA,NA,"2020-03-18T07:55:53.000Z",NA,"POINT (2.1623938 41.634113)"
"9","F08000378","Codina Sabater, Marta",337,"CAPELLADES",8044,"CAPELLADES",8786,"PL","VERDAGUER","3",3622106,"Farmàcia Codina Sabater, Marta","Farmàcia Codina Sabater, Marta","Salut|Farmàcies||",""," PL VERDAGUER, 3",NA,NA,8786,"Capellades","Anoia",938010082,NA,NA,390395.198,4598544.516,1.686168539,41.531048788,NA,NA,"2020-03-18T07:57:25.000Z",NA,"POINT (1.6861686 41.531048)"
"10","F08000441","Ros Casanovas, Rosalina",97,"CASTELLAR DEL VALLÈS",8051,"CASTELLAR DEL VALLÈS",8211,"AV","SANT ESTEVE","3",3622112,"Farmàcia Ros Casanovas, Rosalina","Farmàcia Ros Casanovas, Rosalina","Salut|Farmàcies||",""," AV SANT ESTEVE, 3",NA,NA,8211,"Castellar del Vallès","Vallès Occidental",937145233,NA,NA,423894.506,4607210.052,2.08656572,41.612978806,NA,NA,"2020-03-18T07:56:06.000Z",NA,"POINT (2.0865657 41.61298)"
