CODI FARMACIA,NOM FARMACIA,CODI ABS,NOM ABS,CODI MUNICIPI,NOM MUNICIPI,CODI POSTAL,TIPUS VIA,NOM VIA,NUMERO VIA
0F0801960,"BRUNA REVERTER, M.ANGELS",076,BARCELONA 10-F,08019,BARCELONA,08025,CR,DOS DE MAIG,288
F08000025,"BERTRAN AMBROS, ROSA MARIA",128,BAIX BERGUEDÀ,08175,PUIG-REIG,08692,CR,SANT JORDI,11
F08000032,"ABRIL GARCIA, MARIA",009,ARENYS DE MAR,08006,ARENYS DE MAR,08350,RI,BISBE POL,72
F08000040,"RIGOLA GARROFE, DOLÇA",009,ARENYS DE MAR,08006,ARENYS DE MAR,08350,PL,ESGLESIA,3
F08000057,"MIAS NAVARRO, MIREIA",009,ARENYS DE MAR,08007,ARENYS DE MUNT,08358,RB,SANT MARTI,56
F08000064,"GUILLEN VIDAL, M NURIA",010,ARGENTONA,08009,ARGENTONA,08310,CR,GRAN,22
F08000071,"BOIXAREU CARRERA,M.ANGELS",011,ARTÉS,08010,ARTÉS,08271,CR,ROCAFORT,26
F08000089,"MIMO CALLIS, LLUIS",121,LA GARRIGA,08014,AIGUAFREDA,08591,CT,RIBES,31
F08000096,"JOFRESA PRATS, E/PORTILLO SAAVEDRA, P",273,BADALONA 2,08015,BADALONA,08911,CR,PRIM,156
F08000106,"JIMENEZ GONZALEZ, ROSA M./MARTINEZ ROBLES, MANUEL ENRIQUE",273,BADALONA 2,08015,BADALONA,08911,CR,CANONGE BARANERA,60
F08000113,"AGUILAR CALVO, ADELA",273,BADALONA 2,08015,BADALONA,08911,CR,FRANCESC LAYRET,83
F08000120,"SALLA CLAROS, JOSEPA",277,BADALONA 6,08015,BADALONA,08913,AV,MARQUES DE SANT MORI,16 bis
F08000138,"FAURA MONGUIO,MONTSERRAT",342,BADALONA 7B,08015,BADALONA,08914,AV,ALFONS XIII,256
F08000145,"BOSCASA SANCHEZ-PASCUALA, EVA",276,BADALONA 5,08015,BADALONA,08918,AV,ALFONS XIII,615
F08000152,"PRAT MONGUIO, SALOME",274,BADALONA 3,08015,BADALONA,08912,PL,PEP VENTURA,3
F08000160,"PRAT MARTORI, ANNA",274,BADALONA 3,08015,BADALONA,08912,CR,FRANCESC MACIA,94-96
F08000177,"BERNAT BARRIGA, M.MONTSERRAT",274,BADALONA 3,08015,BADALONA,08912,CR,CONQUESTA,53
F08000184,"VALERO BARLABE, FRANCESC X.",274,BADALONA 3,08015,BADALONA,08912,CR,GUIFRE,184
F08000191,"GARCIA-VELA GRACE, MARTA",277,BADALONA 6,08015,BADALONA,08913,AV,PIUS XII,1-7
F08000201,"SEGARRA DOLSET, SILVIA",276,BADALONA 5,08015,BADALONA,08918,AV,ALFONS XIII,555
F08000219,"SERENTILL TOST, SALVADOR",273,BADALONA 2,08015,BADALONA,08911,CR,MAR,23
F08000226,"TORRAS SURROCA, SARA M",273,BADALONA 2,08015,BADALONA,08911,CR,MAR,76
F08000233,"FERRÉ CLAPÉS, MARC",273,BADALONA 2,08015,BADALONA,08912,AV,MARTI PUJOL,133
F08000240,"IGLESIAS LLAGOSTERA, ALBERT",167,NAVÀS/BALSARENY,08018,BALSARENY,08660,CT,BERGA,2
F08000258,"COSP BOIXADER, MARIA",082,BERGA,08022,BERGA,08600,PS,DE LA PAU,55
F08000265,VILA CALONGE MA. CRISTINA,082,BERGA,08022,BERGA,08600,CR,CIUTAT,41
F08000272,"SAZ CARAZO, NEUS",082,BERGA,08022,BERGA,08600,AV,DEL CANAL INDUSTRIAL,14-18
F08000280,"ALVAREZ DE LA CAMPA FAYOS,ALVAR",082,BERGA,08022,BERGA,08600,CR,GRAN VIA,28
F08000297,"FONT SABALA, MERITXELL",088,CALAF,08031,CALAF,08280,PS,SANTA CALAMANDA,7
F08000307,"PUIGORIOL MAS, ISABEL",089,CALDES DE MONTBUI,08033,CALDES DE MONTBUI,08140,CR,FORN,7
F08000314,"TIBAU MAYNOU,RAFEL",089,CALDES DE MONTBUI,08033,CALDES DE MONTBUI,08140,AV,PI I MARGALL,36-38
F08000321,"AREALES VERA, CESAREO",335,SANT ANDREU DE LLAVANERES,08032,CALDES D'ESTRAC,08393,CR,LA RIERA,20
F08000353,"NOE NADAL, AGUSTI",090,CALELLA,08035,CALELLA,08370,CR,ESGLESIA,116
F08000360,"MARTINEZ ALVAREZ, EMILIO",093,CANET DE MAR,08040,CANET DE MAR,08360,RI,GAVARRA,23
F08000378,"CODINA SABATER, MARTA",337,CAPELLADES,08044,CAPELLADES,08786,PL,VERDAGUER,3
F08000385,"AUQUE REGAÑO, BERNAT",095,CARDEDEU,08046,CARDEDEU,08440,CR,SANT ANTONI,11
F08000392,"FORES JOVER, MARIA CINTA",095,CARDEDEU,08046,CARDEDEU,08440,CR,DIAGONAL FIVALLER,8
F08000402,"BERNADÍ GUITART, ELENA",096,CARDONA,08047,CARDONA,08261,CR,DEL CAMBRAS,5
F08000427,"SALA QUERALT,MANUEL/SALA ARNAU,MARIA",096,CARDONA,08047,CARDONA,08261,PL,MERCAT,1
F08000434,"RODRIGUEZ YANGÜELA, TANIA",097,CASTELLAR DEL VALLÈS,08051,CASTELLAR DEL VALLÈS,08211,CR,TORRAS,2
F08000441,"ROS CASANOVAS, ROSALINA",097,CASTELLAR DEL VALLÈS,08051,CASTELLAR DEL VALLÈS,08211,AV,SANT ESTEVE,3
F08000459,"ESCUDERO MARTINEZ, PASCUAL/ESCUDERO PORTERA,MONICA",310,RUBÍ 2,08054,CASTELLBISBAL,08755,PL,ESGLESIA,8
F08000466,"CARRION RIBAS, JOAN ANTON",159,MOIÀ,08064,CASTELLTERÇOL,08183,CR,DE MIG,1
F08000473,"GUILLERMO MARTINEZ, ANTONIO",098,MONTSERRAT,08053,CASTELLBELL I EL VILAR,08296,AV,CATALUNYA,4B
F08000480,"FELIU TORRENT, IMMACULADA",102,CENTELLES,08067,CENTELLES,08540,CR,SOCOS,2
F08000498,"BARNOLAS PUIGBO, MARIA PILAR",102,CENTELLES,08067,CENTELLES,08540,CR,NOU,7
F08000508,"COPETE PERALTA`, JAVIER/QUERO GUERRERO, M.CARMEN",108,CORNELLÀ DE LLOBREGAT 1,08073,CORNELLÀ DE LLOBREGAT,08940,CR,RAMON I CAJAL,2-4
F08000515,"GELABERT CAMPRUBI, RAMON",108,CORNELLÀ DE LLOBREGAT 1,08073,CORNELLÀ DE LLOBREGAT,08940,CR,RUBIO i ORS,128
F08000522,"LOPEZ-YBARRA FLORES, ROCIO",115,ESPARRAGUERA,08076,ESPARREGUERA,08292,PL,AJUNTAMENT,14
F08000530,"FLORENSA BERENGUER, MIREIA",115,ESPARRAGUERA,08076,ESPARREGUERA,08292,CR,GRAN,33
F08000547,"SANS BALLESTER, SILVIA",117,ESPLUGUES DE LLOBREGAT 2,08077,ESPLUGUES DE LLOBREGAT,08950,CR,ANGEL GUIMERA,130
F08000554,"JENE BORRAS, FRANCESC",117,ESPLUGUES DE LLOBREGAT 2,08077,ESPLUGUES DE LLOBREGAT,08950,CR,ANGEL GUIMERA,9
F08000579,"COMAPOSADA BERINGUES, JOSEFINA",121,LA GARRIGA,08088,LA GARRIGA,08530,CR,CENTRE,29
F08000586,"SUÑOL GENIS, MARTI",121,LA GARRIGA,08088,LA GARRIGA,08530,CR,CENTRE,10
F08000593,"MUÑOZ MENDEZ, DANIEL",123,GAVÀ 2,08089,GAVÀ,08850,RB,JOAQUIM VAYREDA,24
F08000603,"RIVERO MORENO, BEATRIZ",123,GAVÀ 2,08089,GAVÀ,08850,AV,DIAGONAL,7
F08000610,"RIBAL BARRERA, MARIA EVA",360,MARTORELL RURAL,08091,GELIDA,08790,CR,MAJOR,8
F08000628,"SERRA MORELL, CORA",128,BAIX BERGUEDÀ,08092,GIRONELLA,08680,AV,CATALUNYA,30
F08000635,"GUIXE SIMON, XAVIER",128,BAIX BERGUEDÀ,08092,GIRONELLA,08680,AV,CATALUNYA,53
